employee_id,first_name,last_name,age,email,country,postal_code,favorite_color,job_title,salary,hire_date,department,manager_id,years_of_experience,performance_rating
1,Rachele,Schukert,79,rschukert0@blogspot.com,China,,red,Recruiting Manager,659212.19,1/19/2008,HR,1,27.5,4
2,Nonnah,Crawford,72,ncrawford1@t.co,Philippines,6419,green,Nurse Practicioner,182990.84,12/18/2009,Marketing,2,17.0,2
3,Terese,McKane,60,tmckane2@miibeian.gov.cn,Japan,771-0217,red,Librarian,246626.11,10/15/2004,Finance,3,31.6,1
4,Russell,O'Crigan,23,rocrigan3@hugedomains.com,Russia,307156,blue,Information Systems Manager,487901.87,7/19/2003,Sales,4,2.7,5
5,Tedra,Meikle,37,tmeikle4@theatlantic.com,Czech Republic,438 01,green,Budget/Accounting Analyst II,146910.25,9/17/2015,Finance,5,34.0,5
6,Barbara,Climo,70,bclimo5@toplist.cz,China,,green,Social Worker,720333.95,10/1/2001,Finance,6,45.4,5
7,Wait,Ouslem,35,wouslem6@histats.com,United States,92835,red,Software Test Engineer II,782894.97,5/4/2018,Marketing,7,22.0,2
8,Steffie,Saynor,42,ssaynor7@nature.com,Chile,,green,Marketing Assistant,972823.18,5/23/2006,Sales,8,42.2,4
9,Desi,MacKenney,42,dmackenney8@nifty.com,China,,red,Human Resources Assistant I,528443.87,10/9/2004,Sales,9,31.5,2
10,Phelia,Von Hindenburg,66,pvonhindenburg9@tripadvisor.com,Argentina,4000,green,Graphic Designer,938519.6,10/14/2001,Sales,10,44.4,1
11,Kara-lynn,Coates,42,kcoatesa@zdnet.com,Russia,652581,blue,Software Consultant,469294.85,1/26/2014,Finance,11,29.3,1
12,Brennan,Van Castele,78,bvancasteleb@nature.com,Poland,72-005,red,Health Coach II,820086.93,8/13/2006,HR,12,1.6,4
13,Erena,Greener,65,egreenerc@hp.com,Poland,49-345,green,VP Product Management,117434.27,10/8/2009,HR,13,48.7,1
14,Rock,Mylan,49,rmyland@rakuten.co.jp,Russia,634506,green,Teacher,630841.38,2/14/2012,Sales,14,0.8,5
15,Kaitlin,Matts,50,kmattse@ca.gov,China,,blue,Financial Advisor,286227.62,2/15/2005,IT,15,2.3,3
16,Alyda,Anselmi,33,aanselmif@nih.gov,Argentina,4514,green,Nurse,158698.75,5/6/2018,Finance,16,21.7,3
17,Mona,Jaggli,28,mjagglig@networksolutions.com,Thailand,90140,red,Speech Pathologist,675220.59,10/9/2017,Finance,17,16.3,5
18,Conn,Aveyard,76,caveyardh@house.gov,United States,35487,red,Senior Editor,115282.67,2/16/2014,Marketing,18,47.0,3
19,Arlana,Cunningham,24,acunninghami@51.la,China,,blue,Budget/Accounting Analyst III,974117.56,3/19/2004,Sales,19,19.7,3
20,Doris,Fassum,30,dfassumj@nhs.uk,China,,green,Media Manager II,554394.78,4/18/2019,Finance,20,17.6,1
21,Frederic,Janton,44,fjantonk@weibo.com,Indonesia,,green,Engineer II,761825.36,10/22/2019,HR,21,22.2,3
22,Domenico,Roulston,33,droulstonl@imdb.com,Egypt,,green,Human Resources Manager,477860.82,9/22/2020,HR,22,8.1,5
23,Windy,Barmby,54,wbarmbym@cnn.com,Brazil,06600-000,red,Account Executive,162182.65,7/5/2018,HR,23,25.4,1
24,Corilla,Pibsworth,56,cpibsworthn@unesco.org,Russia,652900,red,Developer III,681251.41,10/19/2004,Finance,24,41.4,4
25,Dalila,Gorioli,52,dgoriolio@deliciousdays.com,China,,blue,Quality Engineer,361335.2,1/24/2000,Sales,25,28.9,3
26,Zane,Eyckelberg,41,zeyckelbergp@sohu.com,Poland,63-642,green,Editor,455458.54,4/19/2002,IT,26,18.5,2
27,Sanson,Clemens,45,sclemensq@free.fr,Tunisia,,green,Administrative Officer,208959.82,9/28/2020,IT,27,10.2,2
28,Eva,Durant,27,edurantr@comcast.net,France,95809 CEDEX,blue,Teacher,310616.56,11/3/2018,Sales,28,32.5,3
29,Ailbert,Yitzowitz,67,ayitzowitzs@vk.com,China,,green,Physical Therapy Assistant,527431.03,6/23/2018,Sales,29,13.9,1
30,Gordy,Pitford,28,gpitfordt@nytimes.com,Portugal,4880-106,blue,Media Manager II,832321.46,7/13/2011,HR,30,9.1,5
31,Udall,Burgin,72,uburginu@mozilla.org,France,67704 CEDEX,blue,Marketing Assistant,33426.92,2/6/2016,HR,31,22.4,3
32,Glynnis,Storre,68,gstorrev@fotki.com,Brazil,35600-000,green,GIS Technical Architect,112524.85,12/17/2016,Finance,32,0.5,4
33,Jodee,O' Donohoe,35,jodonohoew@themeforest.net,Thailand,46240,blue,Senior Financial Analyst,605683.95,1/8/2005,HR,33,30.9,4
34,Elga,Horney,82,ehorneyx@sogou.com,Russia,606860,red,Dental Hygienist,423956.21,10/22/2001,IT,34,16.8,3
35,Bent,O'Carmody,40,bocarmodyy@slideshare.net,Indonesia,,green,GIS Technical Architect,382221.67,7/1/2014,Marketing,35,39.2,3
36,Ronnie,O'Halloran,55,rohalloranz@wix.com,Ukraine,,red,Professor,914588.29,3/12/2005,IT,36,6.5,4
37,Kalila,Budnik,84,kbudnik10@state.tx.us,China,,green,Editor,696400.73,3/23/2018,HR,37,27.2,3
38,Carri,Pickersail,32,cpickersail11@craigslist.org,China,,red,Help Desk Operator,154515.02,5/14/2004,Sales,38,21.0,2
39,Clementina,Rothon,76,crothon12@g.co,France,43010 CEDEX,blue,Media Manager II,831906.64,11/1/2021,IT,39,18.7,5
40,Phillie,Hoonahan,67,phoonahan13@paypal.com,China,,blue,Account Coordinator,55373.67,1/17/2005,IT,40,28.2,1
41,Celine,Barts,47,cbarts14@google.cn,Nigeria,,green,Internal Auditor,233445.0,2/23/2020,Sales,41,43.1,1
42,Zacharia,Beddin,76,zbeddin15@twitter.com,China,,red,Software Engineer IV,310548.35,8/30/2016,HR,42,44.6,5
43,Karylin,McGaughie,48,kmcgaughie16@chron.com,China,,green,Office Assistant II,432513.51,10/14/2008,Sales,43,13.5,5
44,Shirley,Hillin,83,shillin17@apple.com,United States,19151,blue,Speech Pathologist,281681.78,4/30/2015,HR,44,27.2,4
45,Doralynn,Checketts,30,dchecketts18@blogtalkradio.com,Afghanistan,,green,Structural Engineer,7460.29,7/5/2020,Finance,45,21.5,5
46,Joana,Varnham,85,jvarnham19@newyorker.com,Indonesia,,red,Payment Adjustment Coordinator,563493.79,9/30/2012,Sales,46,49.8,1
47,Lorie,Andri,29,landri1a@qq.com,Yemen,,red,Director of Sales,903597.18,8/9/2013,Sales,47,4.7,3
48,Cort,Simo,72,csimo1b@nsw.gov.au,China,,green,Business Systems Development Analyst,129487.41,10/16/2007,IT,48,30.9,5
49,Jed,Babe,50,jbabe1c@1und1.de,Japan,754-0897,blue,Legal Assistant,964735.22,6/12/2021,Marketing,49,21.9,5
50,Collin,Bloor,70,cbloor1d@arizona.edu,Indonesia,,green,Budget/Accounting Analyst IV,675108.56,7/22/2014,HR,50,39.6,3
51,Keeley,Gheorghe,73,kgheorghe1e@aol.com,Greece,,green,Mechanical Systems Engineer,881753.21,10/8/2004,Sales,51,49.2,1
52,Jareb,Brandreth,33,jbrandreth1f@tinyurl.com,Nigeria,,blue,Product Engineer,381437.33,11/27/2017,HR,52,27.1,1
53,Robenia,Seymour,51,rseymour1g@google.com.hk,Indonesia,,green,Computer Systems Analyst I,143571.59,1/16/2013,Marketing,53,7.0,1
54,Gunther,Harman,33,gharman1h@cocolog-nifty.com,Ethiopia,,red,Assistant Professor,275429.23,11/11/2021,Sales,54,17.8,5
55,Doti,Gun,85,dgun1i@forbes.com,Cambodia,,green,Chemical Engineer,320572.66,12/20/2020,IT,55,20.5,4
56,Jerald,Mackerel,67,jmackerel1j@theguardian.com,Argentina,7114,green,Project Manager,788268.64,6/24/2004,IT,56,2.0,1
