TransactionID,Salesperson,State,Month,Type,Group,Part,Sales,Margin,Quantity
1,Adelle Blazejewski,,6/19/2020,Type A,Group 2,Part 3,$5973096.49,81.93,760
2,Briana Champney,,6/1/2020,Type A,Group 1,Part 1,$7661643.54,0.19,500
3,Chicky Jansa,,4/19/2020,Type A,Group 1,Part 1,$9152969.22,44.76,492
4,Shoshana Kayley,,8/26/2020,Type B,Group 3,Part 1,$3331867.02,36.09,114
5,Reagen Bean,,11/1/2020,Type A,Group 3,Part 3,$9574596.96,12.71,302
6,Luci Pudding,Île-de-France,12/8/2020,Type A,Group 2,Part 2,$5953822.54,44.51,712
7,Zilvia Hutcheson,,2/22/2020,Type A,Group 1,Part 2,$4974300.26,27.84,38
8,Derrik Argo,,1/16/2020,Type C,Group 1,Part 1,$9693762.28,59.44,132
9,Stearn Bragg,,7/12/2020,Type C,Group 2,Part 1,$4427552.84,38.92,278
10,Kaylil Ruffler,,6/8/2020,Type B,Group 2,Part 3,$187805.23,98.04,470
11,Ami Meugens,,2/12/2020,Type B,Group 1,Part 1,$4882918.45,60.31,809
12,Kati Bemrose,,10/12/2020,Type C,Group 1,Part 3,$7331223.32,53.05,393
13,Marieann Ducker,British Columbia,3/10/2020,Type B,Group 3,Part 3,$3454904.88,35.94,759
14,Udale Kingsland,,8/14/2020,Type B,Group 2,Part 2,$6486036.53,51.28,393
15,Ewart Condie,,6/20/2020,Type A,Group 3,Part 1,$9295754.33,65.02,388
16,Richardo Rens,,6/6/2020,Type C,Group 3,Part 1,$431590.07,71.5,492
17,Tammara Meaker,Rhône-Alpes,4/27/2020,Type A,Group 2,Part 3,$9136466.26,94.52,508
18,Julina Pietrusiak,,8/13/2020,Type B,Group 2,Part 2,$2745825.55,59.03,514
19,Natal Breens,,3/28/2020,Type A,Group 3,Part 1,$5372136.49,15.95,344
20,Gawain Franzewitch,Stockholm,2/8/2020,Type A,Group 1,Part 2,$5328830.95,74.04,613
21,Ruby Turbat,,5/29/2020,Type C,Group 2,Part 3,$5364433.78,92.41,689
22,Rahal Gradwell,,10/24/2020,Type B,Group 2,Part 1,$1015750.54,94.31,545
23,Hadria Groucock,,10/26/2020,Type B,Group 3,Part 2,$5231308.37,98.94,663
24,Virginie oldey,,3/1/2020,Type C,Group 3,Part 1,$3846404.82,55.21,854
25,Prentice Wilhelmy,,9/1/2020,Type B,Group 3,Part 2,$8094807.75,55.41,409
